exp_id,req,config_path,requirement_sha256,traces_sha256,source_effectiveness_config
exp1,AT1,configs/cc_batch/exp1_AT1.json,b793eb4386748f846fefa78d8e1073da32ea3aaeff4b50bdbab0622548b4be46,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT1/exp1.json
exp2,AT1,configs/cc_batch/exp2_AT1.json,b793eb4386748f846fefa78d8e1073da32ea3aaeff4b50bdbab0622548b4be46,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT1/exp3.json
exp3,AT2,configs/cc_batch/exp3_AT2.json,329dc270a94838985bd859d746a9fe726ddc5941c758116fe0716a4193e87378,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT2/exp1.json
exp4,AT2,configs/cc_batch/exp4_AT2.json,329dc270a94838985bd859d746a9fe726ddc5941c758116fe0716a4193e87378,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT2/exp3.json
exp5,AT51,configs/cc_batch/exp5_AT51.json,da0517b9d2e679410f3c3b7c2ab5162dc05d500b10ec2d853cc99096fabb63f6,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT51/exp1.json
exp6,AT51,configs/cc_batch/exp6_AT51.json,da0517b9d2e679410f3c3b7c2ab5162dc05d500b10ec2d853cc99096fabb63f6,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT51/exp3.json
exp7,AT52,configs/cc_batch/exp7_AT52.json,5a7ab633e0111f3afd539e34f72f7bfb19ce8cc888bac6f6458262acc762487e,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT52/exp1.json
exp8,AT52,configs/cc_batch/exp8_AT52.json,5a7ab633e0111f3afd539e34f72f7bfb19ce8cc888bac6f6458262acc762487e,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT52/exp3.json
exp9,AT53,configs/cc_batch/exp9_AT53.json,54cc9409e43c4cd21c02798b1a631309a0ea3e2b6e91a35ec63e702d3cd9603d,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT53/exp1.json
exp10,AT53,configs/cc_batch/exp10_AT53.json,54cc9409e43c4cd21c02798b1a631309a0ea3e2b6e91a35ec63e702d3cd9603d,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT53/exp3.json
exp11,AT54,configs/cc_batch/exp11_AT54.json,9ed0aa6b0edc007c74729b6166945e2b068cfff50f72432ce7572fbc1a78aa88,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT54/exp1.json
exp12,AT54,configs/cc_batch/exp12_AT54.json,9ed0aa6b0edc007c74729b6166945e2b068cfff50f72432ce7572fbc1a78aa88,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT54/exp3.json
exp13,AT6a,configs/cc_batch/exp13_AT6A.json,60762caf03f1db7e4ee3b54ab33bb68c87b44dc65a3dbba8f0464da221ad0702,bcb8c2d0fb57b248ff8a55d12b6ce8872c0e958775bfbc64a13aafb138a582e2,replication/evaluation_inputs/effectiveness/AT6A/exp1.json
